Member_number,Date,itemDescription,Invoice_id
1503,25-07-2015,chicken,1503_25-07-2015
2555,23-12-2015,whole milk,2555_23-12-2015
3645,12-12-2015,citrus fruit,3645_12-12-2015
3886,11-09-2015,soda,3886_11-09-2015
2932,20-03-2015,sausage,2932_20-03-2015
1711,18-06-2015,frankfurter,1711_18-06-2015
4291,08-12-2015,sausage,4291_08-12-2015
1143,25-04-2015,soda,1143_25-04-2015
4564,08-07-2015,rolls/buns,4564_08-07-2015
3337,14-05-2015,beef,3337_14-05-2015
4931,04-05-2015,whole milk,4931_04-05-2015
2623,10-10-2015,processed cheese,2623_10-10-2015
4581,03-04-2015,tropical fruit,4581_03-04-2015
2635,11-06-2015,frankfurter,2635_11-06-2015
1095,30-10-2015,packaged fruit/vegetables,1095_30-10-2015
2990,23-05-2015,whole milk,2990_23-05-2015
2426,05-06-2015,berries,2426_05-06-2015
4555,07-11-2015,citrus fruit,4555_07-11-2015
3635,04-09-2015,tropical fruit,3635_04-09-2015
3058,18-05-2015,hamburger meat,3058_18-05-2015
4391,26-03-2015,hamburger meat,4391_26-03-2015
1306,23-06-2015,whole milk,1306_23-06-2015
1024,10-08-2015,fish,1024_10-08-2015
1295,23-07-2015,frankfurter,1295_23-07-2015
1661,01-06-2015,packaged fruit/vegetables,1661_01-06-2015
4591,15-05-2015,pastry,4591_15-05-2015
3169,14-06-2015,other vegetables,3169_14-06-2015
3915,21-05-2015,misc. beverages,3915_21-05-2015
1127,14-01-2015,frankfurter,1127_14-01-2015
4828,08-08-2015,sparkling wine,4828_08-08-2015
3683,10-06-2015,specialty bar,3683_10-06-2015
1971,18-09-2015,sausage,1971_18-09-2015
3014,11-11-2015,curd cheese,3014_11-11-2015
3779,15-09-2015,frankfurter,3779_15-09-2015
2489,04-05-2015,whole milk,2489_04-05-2015
3564,27-06-2015,newspapers,3564_27-06-2015
4092,30-09-2015,berries,4092_30-09-2015
3221,13-01-2015,curd,3221_13-01-2015
1279,06-09-2015,tropical fruit,1279_06-09-2015
2581,22-08-2015,soda,2581_22-08-2015
2295,25-02-2015,rolls/buns,2295_25-02-2015
4760,22-02-2015,canned beer,4760_22-02-2015
3649,16-01-2015,canned beer,3649_16-01-2015
1075,19-11-2015,frankfurter,1075_19-11-2015
3987,19-08-2015,other vegetables,3987_19-08-2015
4106,25-08-2015,whole milk,4106_25-08-2015
4338,24-06-2015,whole milk,4338_24-06-2015
4166,06-11-2015,citrus fruit,4166_06-11-2015
1211,10-03-2015,frankfurter,1211_10-03-2015
3954,21-01-2015,frankfurter,3954_21-01-2015
3928,18-07-2015,butter milk,3928_18-07-2015
3827,30-09-2015,hamburger meat,3827_30-09-2015
4699,08-02-2015,pasta,4699_08-02-2015
4747,08-06-2015,other vegetables,4747_08-06-2015
3028,09-06-2015,sausage,3028_09-06-2015
2851,16-03-2015,rolls/buns,2851_16-03-2015
4417,25-02-2015,grapes,4417_25-02-2015
3822,07-03-2015,root vegetables,3822_07-03-2015
2288,31-05-2015,coffee,2288_31-05-2015
2184,30-06-2015,popcorn,2184_30-06-2015
4554,27-08-2015,whole milk,4554_27-08-2015
3361,05-03-2015,tropical fruit,3361_05-03-2015
2999,17-04-2015,beef,2999_17-04-2015
2614,25-06-2015,whole milk,2614_25-06-2015
4064,05-06-2015,frankfurter,4064_05-06-2015
3567,04-10-2015,tropical fruit,3567_04-10-2015
2587,07-05-2015,canned beer,2587_07-05-2015
3783,17-06-2015,finished products,3783_17-06-2015
1923,14-02-2015,beverages,1923_14-02-2015
4835,19-02-2015,hamburger meat,4835_19-02-2015
1514,24-08-2015,whole milk,1514_24-08-2015
3154,22-06-2015,finished products,3154_22-06-2015
1313,25-12-2015,other vegetables,1313_25-12-2015
2794,18-07-2015,ham,2794_18-07-2015
2359,09-04-2015,other vegetables,2359_09-04-2015
2238,09-03-2015,curd,2238_09-03-2015
3795,17-01-2015,bottled beer,3795_17-01-2015
3724,26-11-2015,curd,3724_26-11-2015
1152,05-03-2015,whole milk,1152_05-03-2015
4559,16-03-2015,whole milk,4559_16-03-2015
3922,27-02-2015,dessert,3922_27-02-2015
1709,22-04-2015,sausage,1709_22-04-2015
2219,17-04-2015,other vegetables,2219_17-04-2015
2206,17-10-2015,ham,2206_17-10-2015
1752,06-04-2015,other vegetables,1752_06-04-2015
3942,10-11-2015,other vegetables,3942_10-11-2015
3296,17-08-2015,soda,3296_17-08-2015
2257,05-02-2015,herbs,2257_05-02-2015
4313,28-07-2015,frankfurter,4313_28-07-2015
2001,21-08-2015,rolls/buns,2001_21-08-2015
2449,08-07-2015,curd,2449_08-07-2015
4914,12-04-2015,frankfurter,4914_12-04-2015
2764,24-07-2015,other vegetables,2764_24-07-2015
4187,09-05-2015,dog food,4187_09-05-2015
1392,20-04-2015,specialty bar,1392_20-04-2015
3427,28-04-2015,curd,3427_28-04-2015
1411,20-02-2015,frankfurter,1411_20-02-2015
3390,14-11-2015,soda,3390_14-11-2015
4787,01-08-2015,beef,4787_01-08-2015
3310,17-01-2015,canned beer,3310_17-01-2015
1782,10-10-2015,pork,1782_10-10-2015
3375,26-04-2015,frankfurter,3375_26-04-2015
2760,07-01-2015,sausage,2760_07-01-2015
4249,13-09-2015,canned beer,4249_13-09-2015
2904,06-06-2015,specialty chocolate,2904_06-06-2015
4090,26-02-2015,curd,4090_26-02-2015
3060,05-07-2015,canned beer,3060_05-07-2015
3768,07-10-2015,whole milk,3768_07-10-2015
1232,21-01-2015,rolls/buns,1232_21-01-2015
1360,23-10-2015,pork,1360_23-10-2015
1107,01-10-2015,citrus fruit,1107_01-10-2015
2865,04-11-2015,pot plants,2865_04-11-2015
2958,14-06-2015,rolls/buns,2958_14-06-2015
2448,12-07-2015,butter,2448_12-07-2015
1222,24-09-2015,condensed milk,1222_24-09-2015
2943,20-06-2015,sausage,2943_20-06-2015
2270,11-08-2015,whole milk,2270_11-08-2015
3812,21-07-2015,sausage,3812_21-07-2015
1482,22-11-2015,beverages,1482_22-11-2015
4720,22-02-2015,beverages,4720_22-02-2015
1344,04-09-2015,bottled water,1344_04-09-2015
2397,04-10-2015,newspapers,2397_04-10-2015
4182,12-05-2015,cleaner,4182_12-05-2015
4487,10-07-2015,sausage,4487_10-07-2015
3467,24-12-2015,newspapers,3467_24-12-2015
2443,15-11-2015,sausage,2443_15-11-2015
2749,27-01-2015,misc. beverages,2749_27-01-2015
4389,13-04-2015,white wine,4389_13-04-2015
1674,04-12-2015,sausage,1674_04-12-2015
4262,16-10-2015,meat,4262_16-10-2015
2082,07-04-2015,frankfurter,2082_07-04-2015
4494,06-01-2015,ice cream,4494_06-01-2015
2460,28-09-2015,canned beer,2460_28-09-2015
4509,29-11-2015,tropical fruit,4509_29-11-2015
2267,03-07-2015,meat,2267_03-07-2015
4891,05-09-2015,whole milk,4891_05-09-2015
3962,20-09-2015,sausage,3962_20-09-2015
4964,18-07-2015,frankfurter,4964_18-07-2015
2914,30-11-2015,meat,2914_30-11-2015
2808,05-05-2015,root vegetables,2808_05-05-2015
1085,15-08-2015,root vegetables,1085_15-08-2015
3808,18-08-2015,whole milk,3808_18-08-2015
4149,07-01-2015,citrus fruit,4149_07-01-2015
2331,05-06-2015,citrus fruit,2331_05-06-2015
4475,03-04-2015,other vegetables,4475_03-04-2015
2761,25-04-2015,citrus fruit,2761_25-04-2015
2620,14-12-2015,sausage,2620_14-12-2015
3206,13-10-2015,frankfurter,3206_13-10-2015
1226,13-04-2015,hard cheese,1226_13-04-2015
1395,07-03-2015,cream cheese ,1395_07-03-2015
2465,07-06-2015,turkey,2465_07-06-2015
3572,09-07-2015,pork,3572_09-07-2015
4387,08-05-2015,whole milk,4387_08-05-2015
1555,27-03-2015,rolls/buns,1555_27-03-2015
1181,16-11-2015,sausage,1181_16-11-2015
2814,11-05-2015,ice cream,2814_11-05-2015
2794,16-09-2015,liquor,2794_16-09-2015
2912,28-01-2015,pip fruit,2912_28-01-2015
4667,12-01-2015,root vegetables,4667_12-01-2015
2235,25-10-2015,soda,2235_25-10-2015
2353,02-05-2015,soda,2353_02-05-2015
3449,08-03-2015,sausage,3449_08-03-2015
1058,10-11-2015,root vegetables,1058_10-11-2015
1027,17-05-2015,pork,1027_17-05-2015
3302,22-05-2015,pork,3302_22-05-2015
2229,30-05-2015,chocolate,2229_30-05-2015
2188,15-08-2015,fruit/vegetable juice,2188_15-08-2015
1547,18-04-2015,pickled vegetables,1547_18-04-2015
1649,30-06-2015,bottled water,1649_30-06-2015
3254,10-09-2015,frankfurter,3254_10-09-2015
2818,07-11-2015,tropical fruit,2818_07-11-2015
2703,08-05-2015,canned beer,2703_08-05-2015
3332,31-01-2015,root vegetables,3332_31-01-2015
2473,01-07-2015,meat,2473_01-07-2015
2810,30-12-2015,frankfurter,2810_30-12-2015
1033,22-04-2015,tropical fruit,1033_22-04-2015
4222,27-05-2015,tropical fruit,4222_27-05-2015
3679,21-09-2015,citrus fruit,3679_21-09-2015
2212,27-08-2015,hamburger meat,2212_27-08-2015
1507,22-06-2015,chicken,1507_22-06-2015
2870,21-01-2015,chicken,2870_21-01-2015
3429,26-04-2015,frankfurter,3429_26-04-2015
4148,09-04-2015,canned beer,4148_09-04-2015
2970,30-12-2015,turkey,2970_30-12-2015
2013,30-08-2015,packaged fruit/vegetables,2013_30-08-2015
3967,30-05-2015,pasta,3967_30-05-2015
2885,15-05-2015,citrus fruit,2885_15-05-2015
3935,02-07-2015,sausage,3935_02-07-2015
3283,01-05-2015,whole milk,3283_01-05-2015
3268,06-11-2015,canned beer,3268_06-11-2015
3677,30-04-2015,citrus fruit,3677_30-04-2015
3495,27-06-2015,liquor (appetizer),3495_27-06-2015
1410,04-10-2015,citrus fruit,1410_04-10-2015
2440,06-06-2015,sausage,2440_06-06-2015
4088,13-01-2015,chicken,4088_13-01-2015
2469,23-09-2015,hamburger meat,2469_23-09-2015
4229,06-03-2015,sausage,4229_06-03-2015
2728,02-08-2015,beef,2728_02-08-2015
4694,25-01-2015,citrus fruit,4694_25-01-2015
2836,29-12-2015,UHT-milk,2836_29-12-2015
1311,12-02-2015,candy,1311_12-02-2015
1760,23-01-2015,newspapers,1760_23-01-2015
3656,02-03-2015,beef,3656_02-03-2015
3720,28-05-2015,sausage,3720_28-05-2015
2996,26-09-2015,frankfurter,2996_26-09-2015
1949,22-07-2015,canned beer,1949_22-07-2015
4498,11-02-2015,bottled beer,4498_11-02-2015
2447,28-12-2015,onions,2447_28-12-2015
1952,23-03-2015,tropical fruit,1952_23-03-2015
4099,27-01-2015,bottled water,4099_27-01-2015
1804,12-03-2015,beef,1804_12-03-2015
1510,16-05-2015,sausage,1510_16-05-2015
2879,18-04-2015,hair spray,2879_18-04-2015
4899,12-03-2015,chicken,4899_12-03-2015
4326,29-09-2015,pork,4326_29-09-2015
1670,17-05-2015,ice cream,1670_17-05-2015
1117,24-05-2015,meat,1117_24-05-2015
1346,03-04-2015,other vegetables,1346_03-04-2015
1178,15-11-2015,bottled water,1178_15-11-2015
1649,25-06-2015,tropical fruit,1649_25-06-2015
4651,21-06-2015,photo/film,4651_21-06-2015
4243,02-04-2015,sausage,4243_02-04-2015
4429,21-07-2015,grapes,4429_21-07-2015
4645,25-07-2015,domestic eggs,4645_25-07-2015
4019,24-07-2015,rolls/buns,4019_24-07-2015
4459,26-04-2015,tropical fruit,4459_26-04-2015
3006,27-12-2015,chicken,3006_27-12-2015
1834,17-09-2015,frankfurter,1834_17-09-2015
3236,04-07-2015,berries,3236_04-07-2015
1765,11-03-2015,margarine,1765_11-03-2015
3855,09-03-2015,tropical fruit,3855_09-03-2015
4392,28-11-2015,ham,4392_28-11-2015
3330,26-07-2015,hamburger meat,3330_26-07-2015
1723,02-09-2015,yogurt,1723_02-09-2015
4110,30-03-2015,soda,4110_30-03-2015
2600,28-01-2015,yogurt,2600_28-01-2015
2946,07-10-2015,soda,2946_07-10-2015
2426,08-09-2015,bottled water,2426_08-09-2015
4170,03-05-2015,sausage,4170_03-05-2015
1109,06-04-2015,citrus fruit,1109_06-04-2015
3429,04-01-2015,shopping bags,3429_04-01-2015
2055,04-02-2015,newspapers,2055_04-02-2015
2480,20-09-2015,frankfurter,2480_20-09-2015
2441,30-05-2015,sausage,2441_30-05-2015
1054,04-10-2015,frankfurter,1054_04-10-2015
4818,11-01-2015,salt,4818_11-01-2015
3379,21-01-2015,oil,3379_21-01-2015
3939,10-02-2015,curd,3939_10-02-2015
1367,05-08-2015,other vegetables,1367_05-08-2015
1043,10-01-2015,citrus fruit,1043_10-01-2015
2231,17-10-2015,frankfurter,2231_17-10-2015
3235,28-12-2015,root vegetables,3235_28-12-2015
4554,16-07-2015,tropical fruit,4554_16-07-2015
3245,24-01-2015,beef,3245_24-01-2015
2996,19-05-2015,berries,2996_19-05-2015
2507,05-01-2015,canned beer,2507_05-01-2015
4186,25-10-2015,whipped/sour cream,4186_25-10-2015
3929,28-04-2015,root vegetables,3929_28-04-2015
3760,22-11-2015,whole milk,3760_22-11-2015
4928,18-08-2015,beef,4928_18-08-2015
4217,18-12-2015,frozen vegetables,4217_18-12-2015
1174,11-02-2015,rolls/buns,1174_11-02-2015
4103,19-06-2015,whole milk,4103_19-06-2015
4408,13-03-2015,whole milk,4408_13-03-2015
2588,28-12-2015,citrus fruit,2588_28-12-2015
2598,11-11-2015,pastry,2598_11-11-2015
1518,11-12-2015,frankfurter,1518_11-12-2015
2702,08-04-2015,tropical fruit,2702_08-04-2015
1001,20-01-2015,frankfurter,1001_20-01-2015
2270,30-09-2015,berries,2270_30-09-2015
2838,10-11-2015,rolls/buns,2838_10-11-2015
1683,26-05-2015,root vegetables,1683_26-05-2015
4040,03-04-2015,yogurt,4040_03-04-2015
3897,23-08-2015,other vegetables,3897_23-08-2015
2200,11-03-2015,berries,2200_11-03-2015
4073,29-01-2015,berries,4073_29-01-2015
3700,19-04-2015,other vegetables,3700_19-04-2015
3973,10-06-2015,rolls/buns,3973_10-06-2015
2715,06-07-2015,ham,2715_06-07-2015
3967,23-11-2015,whole milk,3967_23-11-2015
4002,03-09-2015,tropical fruit,4002_03-09-2015
2962,01-03-2015,bottled water,2962_01-03-2015
4340,25-12-2015,butter milk,4340_25-12-2015
2092,06-11-2015,newspapers,2092_06-11-2015
3143,24-05-2015,coffee,3143_24-05-2015
2209,03-10-2015,bottled beer,2209_03-10-2015
2816,22-08-2015,onions,2816_22-08-2015
2659,01-06-2015,hamburger meat,2659_01-06-2015
1588,13-10-2015,sausage,1588_13-10-2015
1144,15-10-2015,hard cheese,1144_15-10-2015
2166,10-12-2015,sausage,2166_10-12-2015
3300,06-10-2015,hamburger meat,3300_06-10-2015
3944,03-01-2015,onions,3944_03-01-2015
4979,24-04-2015,coffee,4979_24-04-2015
2630,21-01-2015,shopping bags,2630_21-01-2015
4240,29-04-2015,yogurt,4240_29-04-2015
2357,08-07-2015,soda,2357_08-07-2015
1743,18-04-2015,sliced cheese,1743_18-04-2015
2331,15-02-2015,sausage,2331_15-02-2015
1643,28-04-2015,yogurt,1643_28-04-2015
1291,20-03-2015,domestic eggs,1291_20-03-2015
3675,04-07-2015,whole milk,3675_04-07-2015
4134,06-11-2015,meat,4134_06-11-2015
1363,21-06-2015,dish cleaner,1363_21-06-2015
4212,01-05-2015,other vegetables,4212_01-05-2015
1500,21-03-2015,whole milk,1500_21-03-2015
2622,01-10-2015,other vegetables,2622_01-10-2015
3543,18-03-2015,tropical fruit,3543_18-03-2015
2525,24-05-2015,baking powder,2525_24-05-2015
1264,12-10-2015,specialty bar,1264_12-10-2015
3601,06-07-2015,ice cream,3601_06-07-2015
1771,23-03-2015,frankfurter,1771_23-03-2015
4694,06-02-2015,canned beer,4694_06-02-2015
1122,21-12-2015,bottled water,1122_21-12-2015
3507,12-08-2015,other vegetables,3507_12-08-2015
4524,26-04-2015,citrus fruit,4524_26-04-2015
3612,27-09-2015,sausage,3612_27-09-2015
3262,11-06-2015,domestic eggs,3262_11-06-2015
1897,25-01-2015,pork,1897_25-01-2015
1656,30-10-2015,specialty cheese,1656_30-10-2015
3953,10-01-2015,pork,3953_10-01-2015
1488,21-06-2015,beef,1488_21-06-2015
1652,17-03-2015,other vegetables,1652_17-03-2015
4953,16-09-2015,chicken,4953_16-09-2015
3445,30-04-2015,soda,3445_30-04-2015
3180,15-03-2015,whole milk,3180_15-03-2015
4934,06-09-2015,rolls/buns,4934_06-09-2015
2980,27-04-2015,bottled beer,2980_27-04-2015
2763,13-02-2015,root vegetables,2763_13-02-2015
4819,04-03-2015,pastry,4819_04-03-2015
3169,02-07-2015,berries,3169_02-07-2015
1850,11-03-2015,citrus fruit,1850_11-03-2015
4285,29-12-2015,whole milk,4285_29-12-2015
4366,13-08-2015,soda,4366_13-08-2015
2253,16-06-2015,bottled water,2253_16-06-2015
3398,11-03-2015,tropical fruit,3398_11-03-2015
2215,22-07-2015,salty snack,2215_22-07-2015
3737,03-03-2015,bottled water,3737_03-03-2015
2649,28-11-2015,chocolate,2649_28-11-2015
3203,07-08-2015,citrus fruit,3203_07-08-2015
4261,16-02-2015,bottled water,4261_16-02-2015
2435,17-07-2015,onions,2435_17-07-2015
2046,21-08-2015,dessert,2046_21-08-2015
4267,11-02-2015,beef,4267_11-02-2015
1086,28-12-2015,rolls/buns,1086_28-12-2015
1992,04-01-2015,beef,1992_04-01-2015
3622,26-07-2015,soda,3622_26-07-2015
4700,27-06-2015,coffee,4700_27-06-2015
2272,16-05-2015,rolls/buns,2272_16-05-2015
1663,19-05-2015,pork,1663_19-05-2015
2519,03-06-2015,soda,2519_03-06-2015
2639,30-10-2015,sausage,2639_30-10-2015
1466,19-04-2015,beef,1466_19-04-2015
4122,23-10-2015,whole milk,4122_23-10-2015
3598,15-04-2015,pork,3598_15-04-2015
3097,10-08-2015,berries,3097_10-08-2015
1873,19-09-2015,sausage,1873_19-09-2015
1537,01-02-2015,bottled water,1537_01-02-2015
3960,25-03-2015,tropical fruit,3960_25-03-2015
1136,15-06-2015,herbs,1136_15-06-2015
2453,21-12-2015,yogurt,2453_21-12-2015
1746,15-02-2015,Instant food products,1746_15-02-2015
3572,09-06-2015,specialty chocolate,3572_09-06-2015
3246,24-06-2015,coffee,3246_24-06-2015
3207,26-11-2015,bottled beer,3207_26-11-2015
1042,12-02-2015,beef,1042_12-02-2015
1176,30-03-2015,whole milk,1176_30-03-2015
3054,23-02-2015,frankfurter,3054_23-02-2015
4486,02-12-2015,frankfurter,4486_02-12-2015
1580,05-12-2015,other vegetables,1580_05-12-2015
1623,02-11-2015,frankfurter,1623_02-11-2015
4169,24-11-2015,whole milk,4169_24-11-2015
2254,24-01-2015,frankfurter,2254_24-01-2015
4095,01-11-2015,other vegetables,4095_01-11-2015
1264,17-11-2015,bottled water,1264_17-11-2015
3375,06-01-2015,pork,3375_06-01-2015
3242,23-05-2015,bottled water,3242_23-05-2015
2227,07-06-2015,other vegetables,2227_07-06-2015
3847,03-12-2015,hamburger meat,3847_03-12-2015
3897,31-05-2015,hamburger meat,3897_31-05-2015
1799,27-09-2015,shopping bags,1799_27-09-2015
2920,26-04-2015,whole milk,2920_26-04-2015
3713,31-01-2015,ice cream,3713_31-01-2015
4230,05-11-2015,pastry,4230_05-11-2015
1455,18-03-2015,ham,1455_18-03-2015
3687,18-03-2015,frankfurter,3687_18-03-2015
3869,01-08-2015,sausage,3869_01-08-2015
2988,14-10-2015,bottled beer,2988_14-10-2015
4242,30-03-2015,bottled water,4242_30-03-2015
4118,24-12-2015,meat,4118_24-12-2015
4996,24-10-2015,dessert,4996_24-10-2015
4489,04-03-2015,other vegetables,4489_04-03-2015
1199,09-11-2015,beverages,1199_09-11-2015
4108,12-05-2015,ham,4108_12-05-2015
3484,05-06-2015,specialty bar,3484_05-06-2015
1239,31-08-2015,brown bread,1239_31-08-2015
4839,19-12-2015,whole milk,4839_19-12-2015
4748,07-05-2015,rolls/buns,4748_07-05-2015
4426,06-06-2015,bottled beer,4426_06-06-2015
3571,11-12-2015,pet care,3571_11-12-2015
2852,08-06-2015,citrus fruit,2852_08-06-2015
3638,26-05-2015,pork,3638_26-05-2015
3635,10-03-2015,other vegetables,3635_10-03-2015
2723,07-05-2015,white wine,2723_07-05-2015
3495,11-03-2015,whole milk,3495_11-03-2015
2813,16-11-2015,pip fruit,2813_16-11-2015
2799,02-09-2015,sugar,2799_02-09-2015
4723,22-05-2015,tropical fruit,4723_22-05-2015
3313,08-04-2015,root vegetables,3313_08-04-2015
4748,15-12-2015,soda,4748_15-12-2015
2991,16-02-2015,whole milk,2991_16-02-2015
1483,01-04-2015,tropical fruit,1483_01-04-2015
3950,01-10-2015,white bread,3950_01-10-2015
1634,16-01-2015,brown bread,1634_16-01-2015
2694,21-11-2015,tropical fruit,2694_21-11-2015
2707,18-10-2015,domestic eggs,2707_18-10-2015
2813,16-07-2015,coffee,2813_16-07-2015
2276,11-01-2015,soda,2276_11-01-2015
4726,06-02-2015,whole milk,4726_06-02-2015
4353,25-05-2015,bottled beer,4353_25-05-2015
4017,13-08-2015,pork,4017_13-08-2015
1422,21-08-2015,other vegetables,1422_21-08-2015
2714,15-03-2015,yogurt,2714_15-03-2015
2769,21-07-2015,sparkling wine,2769_21-07-2015
4166,30-04-2015,bottled water,4166_30-04-2015
3614,02-03-2015,citrus fruit,3614_02-03-2015
4361,05-09-2015,hamburger meat,4361_05-09-2015
1922,22-09-2015,packaged fruit/vegetables,1922_22-09-2015
4728,06-09-2015,other vegetables,4728_06-09-2015
3646,08-08-2015,soda,3646_08-08-2015
1155,10-08-2015,whole milk,1155_10-08-2015
2119,11-06-2015,herbs,2119_11-06-2015
1602,29-08-2015,citrus fruit,1602_29-08-2015
1074,24-06-2015,misc. beverages,1074_24-06-2015
2256,11-04-2015,female sanitary products,2256_11-04-2015
1348,17-09-2015,soda,1348_17-09-2015
3806,28-08-2015,tropical fruit,3806_28-08-2015
1711,06-06-2015,soda,1711_06-06-2015
3959,12-04-2015,white bread,3959_12-04-2015
1590,15-08-2015,coffee,1590_15-08-2015
1962,08-06-2015,tropical fruit,1962_08-06-2015
1766,21-01-2015,pork,1766_21-01-2015
2551,21-10-2015,citrus fruit,2551_21-10-2015
2294,23-09-2015,frankfurter,2294_23-09-2015
4531,29-05-2015,frankfurter,4531_29-05-2015
2957,12-04-2015,frankfurter,2957_12-04-2015
4415,27-01-2015,other vegetables,4415_27-01-2015
1476,26-08-2015,yogurt,1476_26-08-2015
3978,23-07-2015,sausage,3978_23-07-2015
2062,22-09-2015,whole milk,2062_22-09-2015
3252,28-06-2015,pip fruit,3252_28-06-2015
3922,24-06-2015,whole milk,3922_24-06-2015
1491,17-10-2015,root vegetables,1491_17-10-2015
3526,26-08-2015,onions,3526_26-08-2015
4060,11-12-2015,specialty chocolate,4060_11-12-2015
1067,08-04-2015,hamburger meat,1067_08-04-2015
2840,27-01-2015,photo/film,2840_27-01-2015
